transacted,created,id,code_1,code_2,code_3,code_4,code_5,amount,qauntity,price,tax,value
2012-01-05 04:34:12,2012-01-05 05:54:12,1,754803868-2,110786531-X,676877395-X,450663755-0,638528629-0,53.4819,124,99.4604,1.465424,9403.774626
2012-01-05 04:34:12,2012-01-05 05:54:12,2,403470721-6,782743191-7,032623446-2,060148185-2,118118168-2,94.3934,288,97.5243,9.822123,6989.818225
2012-01-05 04:34:12,2012-01-05 05:54:12,3,522452857-7,578509031-7,633910711-7,267443180-6,830208815-3,55.179,392,60.037,6.175559,4083.622156
2012-01-05 04:34:12,2012-01-05 05:54:12,4,727502432-2,265851550-2,187538650-5,216375521-5,038885722-6,99.4507,368,86.4561,7.04806,4765.472127
2012-01-05 04:34:12,2012-01-05 05:54:12,5,451646665-1,251948039-4,479515319-1,291565531-6,632756139-X,3.1431,205,33.2571,7.726819,9295.411076
2012-01-05 04:34:12,2012-01-05 05:54:12,6,003132271-9,224935786-2,866520236-6,066951293-1,112736664-5,78.9266,500,95.7111,2.374467,4024.527716
2012-01-05 04:34:12,2012-01-05 05:54:12,7,364690170-5,974330560-2,587136786-0,506956749-7,729017070-9,68.2427,412,24.499,8.956298,6229.775672
2012-01-05 04:34:12,2012-01-05 05:54:12,8,946313149-3,351324211-5,088644869-7,816855443-4,298305480-2,7.2222,194,76.7323,9.208384,1009.667447
2012-01-05 04:34:12,2012-01-05 05:54:12,9,473305279-0,887334018-0,729712330-7,396390034-2,611939016-2,74.9459,276,16.4945,6.971562,8210.117231
2012-01-05 04:34:12,2012-01-05 05:54:12,10,205237781-6,844228278-5,118896674-X,935421479-7,018560981-3,50.8967,438,21.6905,2.555491,6958.5266
2012-01-05 04:34:12,2012-01-05 05:54:12,11,985564734-3,261607688-8,975778404-4,136122465-7,826266809-X,76.0651,276,95.016,4.655658,4270.65887
2012-01-05 04:34:12,2012-01-05 05:54:12,12,482020375-4,161900023-7,162594865-4,336608112-0,075939697-3,5.7446,83,39.4484,9.90132,2061.638637
2012-01-05 04:34:12,2012-01-05 05:54:12,13,519190577-6,321015396-5,176965047-4,128774056-1,967575471-0,6.1187,293,11.1142,6.501972,6281.855206
2012-01-05 04:34:12,2012-01-05 05:54:12,14,435633353-5,488593641-1,884670507-6,099608062-7,531077016-X,18.139,468,5.3266,8.995806,1951.714441
2012-01-05 04:34:12,2012-01-05 05:54:12,15,669629978-5,578555668-5,619711322-8,589930728-5,740162902-X,59.0904,41,70.9123,1.638632,7376.224662
2012-01-05 04:34:12,2012-01-05 05:54:12,16,590689086-6,584390956-5,536066415-0,931762802-8,735649787-5,78.4428,131,64.1091,9.277666,6319.882548
2012-01-05 04:34:12,2012-01-05 05:54:12,17,075975843-3,942513806-0,703201289-2,265673722-2,741222214-7,34.9874,212,7.1415,2.331432,9981.963184
