transacted,created,id,code_1,code_2,code_3,code_4,code_5,amount,qauntity,price,tax,value
2012-01-10 09:46:10,2012-01-10 12:23:32,1,013709817-0,633872713-8,580290781-9,510387143-2,069981744-7,86.1006,113,98.5289,9.769125,8979.906035
2012-01-10 09:46:10,2012-01-10 12:23:32,2,275787867-0,643903231-3,055658933-5,808442310-X,047894746-1,83.1026,34,69.3577,7.831754,3046.87259
2012-01-10 09:46:10,2012-01-10 12:23:32,3,203583106-7,561018468-1,982847027-6,689040577-3,119801122-X,9.0429,98,26.2805,9.345515,2826.490008
2012-01-10 09:46:10,2012-01-10 12:23:32,4,169048767-4,908704901-3,497913068-2,324698145-0,097767238-7,28.6959,42,63.3637,6.426699,7648.530892
2012-01-10 09:46:10,2012-01-10 12:23:32,5,770496826-2,441725232-7,619724815-8,781976054-0,084492944-1,71.9101,424,23.4143,5.377143,2379.24199
2012-01-10 09:46:10,2012-01-10 12:23:32,6,003192548-0,423845603-3,638618552-8,738955034-1,769269258-0,25.678,96,77.0121,2.805534,4452.209968
2012-01-10 09:46:10,2012-01-10 12:23:32,7,437546382-1,406193009-5,224434505-X,253125976-7,660910110-8,30.2838,166,40.6562,1.540755,2595.90934
2012-01-10 09:46:10,2012-01-10 12:23:32,8,015603848-X,645285039-3,747798687-7,065233677-9,062339057-4,99.5665,19,2.6477,4.429843,6431.211658
2012-01-10 09:46:10,2012-01-10 12:23:32,9,305201947-3,032854335-7,142360592-6,305350525-8,164779557-5,34.3542,311,30.9295,2.592002,4892.470479
2012-01-10 09:46:10,2012-01-10 12:23:32,10,804301567-8,412463752-7,713332515-2,609822203-7,055840445-6,64.7605,101,68.6518,8.0919,3415.687003
2012-01-10 09:46:10,2012-01-10 12:23:32,11,918687568-X,674958460-8,574951417-X,707167116-8,150751207-4,46.0324,56,66.9647,2.424745,5280.987602
2012-01-10 09:46:10,2012-01-10 12:23:32,12,315629571-X,552189990-1,566183180-3,131915490-5,609337021-6,84.3483,278,5.3192,9.308506,7552.198362
2012-01-10 09:46:10,2012-01-10 12:23:32,13,421110988-X,423608183-0,430761806-8,043990522-2,903245695-4,83.649,166,7.6354,1.94418,3698.148842
2012-01-10 09:46:10,2012-01-10 12:23:32,14,626554386-5,041555303-2,586857013-8,665278951-5,638815833-1,39.7537,270,31.1011,1.40434,5744.047635
2012-01-10 09:46:10,2012-01-10 12:23:32,15,973602319-2,676060190-4,309798104-7,191750426-8,197515424-X,85.0881,153,65.4402,2.864089,8904.602427
2012-01-10 09:46:10,2012-01-10 12:23:32,16,334965458-4,484523078-X,060867648-9,056679920-0,384331343-1,87.1373,311,29.8019,7.283755,6489.002643
2012-01-10 09:46:10,2012-01-10 12:23:32,17,514174658-5,846725183-2,162651140-3,099886362-9,797792760-8,28.1294,380,36.7077,2.383309,2627.081584
2012-01-10 09:46:10,2012-01-10 12:23:32,18,526465631-2,199575859-0,088640969-1,595631397-8,544342261-8,4.2126,498,84.1443,5.436082,2215.231622
2012-01-10 09:46:10,2012-01-10 12:23:32,19,003342781-X,760645737-9,331104520-3,282186833-2,864802766-7,35.191,174,18.523,1.358351,4029.547942
2012-01-10 09:46:10,2012-01-10 12:23:32,20,161834178-2,367628835-1,931593028-2,067802321-2,299526202-2,21.4797,57,16.5654,2.800927,5244.05859
2012-01-10 09:46:10,2012-01-10 12:23:32,21,403765990-5,404518877-0,536689234-1,206884407-9,949816324-3,79.9529,328,90.975,9.90886,9737.869622
2012-01-10 09:46:10,2012-01-10 12:23:32,22,047296939-0,167323429-1,476809345-0,568957056-7,938826842-3,70.9861,453,83.5534,7.14935,9515.975621
2012-01-10 09:46:10,2012-01-10 12:23:32,23,040409505-4,978679763-9,697104642-0,098738838-X,277015854-6,43.0724,207,29.4177,2.215455,9416.386241
2012-01-10 09:46:10,2012-01-10 12:23:32,24,848631637-5,602600596-X,091758689-1,697884428-4,505899951-X,10.2117,104,30.9439,9.515616,3854.615378
2012-01-10 09:46:10,2012-01-10 12:23:32,25,139502767-6,425960600-X,639593587-9,606791649-5,661407879-8,49.7563,72,24.4412,7.97656,1539.77738
2012-01-10 09:46:10,2012-01-10 12:23:32,26,579355163-8,720163250-7,754211237-6,672290764-3,970122731-X,64.5394,416,78.4623,1.101705,5269.911133
2012-01-10 09:46:10,2012-01-10 12:23:32,27,418884038-2,274689315-0,093976522-5,475329618-0,912135912-1,4.4957,349,83.3332,3.280107,7599.339378
2012-01-10 09:46:10,2012-01-10 12:23:32,28,683364629-5,584726678-2,292777662-8,490557922-8,713401721-4,1.9987,59,69.344,8.095047,5986.232048
2012-01-10 09:46:10,2012-01-10 12:23:32,29,422417132-5,815842451-1,610344195-1,322493051-9,476930876-0,19.6759,430,83.246,5.099247,7587.441437
2012-01-10 09:46:10,2012-01-10 12:23:32,30,720011053-1,771381477-9,516620093-4,937427390-X,191461283-3,31.377,173,37.977,7.454349,1214.224841
2012-01-10 09:46:10,2012-01-10 12:23:32,31,825965900-X,917016570-X,633588576-X,289184936-1,951276889-5,64.1572,187,72.7659,5.452742,6095.132056
2012-01-10 09:46:10,2012-01-10 12:23:32,32,069129187-X,808196624-2,633234611-6,228720706-6,997987049-4,11.7425,117,99.9704,2.362373,4663.21414
2012-01-10 09:46:10,2012-01-10 12:23:32,33,722626596-6,593237750-X,344435117-8,359640074-0,614824663-5,65.2354,287,42.3904,3.437326,8392.69112
2012-01-10 09:46:10,2012-01-10 12:23:32,34,928388090-0,728790870-0,334448285-8,919395252-X,451003060-6,74.223,98,88.7817,8.326879,3358.879676
2012-01-10 09:46:10,2012-01-10 12:23:32,35,892641922-3,029317815-1,203513255-X,755720445-X,069524584-8,29.5748,395,18.3925,6.826101,2311.405816
2012-01-10 09:46:10,2012-01-10 12:23:32,36,053510087-6,627925050-4,593743087-5,656166137-0,027710012-7,21.52,250,19.2262,5.088795,2572.90837
2012-01-10 09:46:10,2012-01-10 12:23:32,37,187760766-5,456433776-9,108997441-8,442443091-X,402026713-8,32.1105,145,93.6333,7.443735,8439.221636
2012-01-10 09:46:10,2012-01-10 12:23:32,38,336662141-9,903564059-4,483458038-5,597633248-X,245211606-8,43.0447,407,80.9846,9.810346,2715.192745
2012-01-10 09:46:10,2012-01-10 12:23:32,39,338181703-5,560153712-7,083436776-9,891167227-0,455829312-7,1.4053,118,40.0474,5.575173,6664.43674
2012-01-10 09:46:10,2012-01-10 12:23:32,40,643971143-1,282264629-5,505466696-6,872799840-1,840217860-X,60.7082,403,17.6282,6.606382,9099.174999
2012-01-10 09:46:10,2012-01-10 12:23:32,41,431983271-X,713808672-5,542328212-8,820635807-2,887488642-X,96.514,246,25.1715,3.988023,8396.362397
2012-01-10 09:46:10,2012-01-10 12:23:32,42,335505422-4,344595100-4,727877300-8,432743104-4,401130523-5,1.6439,146,13.003,7.730342,3428.94581
2012-01-10 09:46:10,2012-01-10 12:23:32,43,470279740-9,571845502-3,773917513-7,678454198-7,011233859-3,53.9513,74,62.8829,5.649403,8518.8984
2012-01-10 09:46:10,2012-01-10 12:23:32,44,351545911-1,864091175-4,027158015-1,708534466-0,210549920-1,12.8883,421,61.5361,5.329073,2187.760672
2012-01-10 09:46:10,2012-01-10 12:23:32,45,222713887-4,301091636-1,261552055-5,982626581-0,488161417-7,11.2946,306,66.2818,3.210076,4507.007293
2012-01-10 09:46:10,2012-01-10 12:23:32,46,848375004-X,817629829-8,904318132-3,272947241-X,830924472-X,87.6932,163,58.2383,9.83889,2273.527641
2012-01-10 09:46:10,2012-01-10 12:23:32,47,775566872-X,765609455-5,900400894-2,385591645-4,059633250-5,73.4744,196,63.4422,2.327851,4594.593637
2012-01-10 09:46:10,2012-01-10 12:23:32,48,654435967-X,329834732-9,540526823-2,656705205-8,786647935-6,29.3454,147,33.8971,2.744638,5319.247339
2012-01-10 09:46:10,2012-01-10 12:23:32,49,695002289-1,968078320-0,464502022-6,465242430-2,930257805-4,76.7205,143,67.6187,6.253299,8411.752362
2012-01-10 09:46:10,2012-01-10 12:23:32,50,885865538-9,887371954-6,256616441-X,387723843-2,168001186-3,84.1798,196,49.1564,3.331144,5828.194215
2012-01-10 09:46:10,2012-01-10 12:23:32,51,204251627-9,029527757-2,553808554-6,054419385-7,117648683-7,79.8739,257,36.4316,4.571219,5931.931497
2012-01-10 09:46:10,2012-01-10 12:23:32,52,535979960-9,176898277-5,019105659-6,033730705-9,285918965-3,73.0698,143,20.7868,5.143926,9989.167528
2012-01-10 09:46:10,2012-01-10 12:23:32,53,608887316-7,095454990-2,551493414-4,340624470-X,857733736-7,15.0649,97,76.1039,5.736289,5554.296545
2012-01-10 09:46:10,2012-01-10 12:23:32,54,537974294-7,049066252-8,599751774-8,665971463-4,946133061-8,14.3188,423,85.2459,5.455677,1764.661929
2012-01-10 09:46:10,2012-01-10 12:23:32,55,251612604-2,305551829-2,121518237-6,936244702-9,392750386-X,34.0184,189,37.5118,9.273104,2577.322024
2012-01-10 09:46:10,2012-01-10 12:23:32,56,884854398-7,223577148-3,352305109-6,676875517-X,336085878-6,97.2476,27,82.122,3.343832,3637.086099
2012-01-10 09:46:10,2012-01-10 12:23:32,57,221669690-0,351829966-2,565397144-8,505046957-0,548548500-6,96.5646,69,26.2242,8.586552,2292.485063
2012-01-10 09:46:10,2012-01-10 12:23:32,58,064462201-6,549358466-2,647013488-2,877120688-4,514698552-9,56.2923,161,18.007,4.247999,9301.629886
2012-01-10 09:46:10,2012-01-10 12:23:32,59,295860457-8,625305584-4,070683461-5,085636331-6,061994490-0,51.1486,57,49.7647,8.087264,3646.485992
2012-01-10 09:46:10,2012-01-10 12:23:32,60,247319731-8,536098797-9,340010533-3,003839685-8,132139532-9,25.3524,278,78.3975,7.740919,6599.407599
2012-01-10 09:46:10,2012-01-10 12:23:32,61,214665008-7,075596278-8,784906704-5,529913220-4,877221363-9,72.5591,447,66.3949,7.355597,7449.154952
2012-01-10 09:46:10,2012-01-10 12:23:32,62,758679529-0,954891610-X,766558921-9,154826209-9,928065335-0,15.5501,179,49.4132,8.609372,5124.465754
2012-01-10 09:46:10,2012-01-10 12:23:32,63,521983844-X,641626828-0,021642554-9,882107126-X,722264881-X,70.6344,263,43.3752,5.402869,3446.521174
2012-01-10 09:46:10,2012-01-10 12:23:32,64,413236735-5,758118115-4,666853539-9,411259190-X,601024654-7,19.8437,111,71.1817,1.366717,2668.451394
2012-01-10 09:46:10,2012-01-10 12:23:32,65,827114499-5,388441987-0,263796644-0,995219963-5,545839942-0,14.5115,52,82.0802,5.382155,7017.269297
2012-01-10 09:46:10,2012-01-10 12:23:32,66,274553834-9,147120991-1,654362839-1,507044095-0,129527889-8,28.125,381,54.8325,7.125506,6055.693836
2012-01-10 09:46:10,2012-01-10 12:23:32,67,532893132-7,002387011-7,301790101-7,382810120-8,400764861-1,28.6598,130,57.2488,6.375102,4612.297199
2012-01-10 09:46:10,2012-01-10 12:23:32,68,784202513-4,220543224-9,779863854-7,326967804-5,474499277-3,30.6921,185,67.2529,3.762148,2354.973005
2012-01-10 09:46:10,2012-01-10 12:23:32,69,320141930-3,670666737-4,882132896-1,915359920-9,572883662-3,72.171,434,28.1872,7.273779,1710.480889
2012-01-10 09:46:10,2012-01-10 12:23:32,70,112977281-0,861454394-8,717163214-8,630189691-2,128809326-8,79.0257,500,72.1927,4.795805,1038.365118
2012-01-10 09:46:10,2012-01-10 12:23:32,71,814872595-0,312866234-7,536361258-5,449696507-0,990411423-4,36.1676,323,50.8079,3.358041,6913.147769
2012-01-10 09:46:10,2012-01-10 12:23:32,72,919365261-5,059478289-9,549586256-2,626018207-4,183806400-1,36.7002,429,43.9743,2.279117,9577.646139
2012-01-10 09:46:10,2012-01-10 12:23:32,73,252634278-3,293097285-8,671878399-4,818167245-3,779115251-7,9.3213,330,88.5403,4.724491,1959.143725
2012-01-10 09:46:10,2012-01-10 12:23:32,74,563616947-7,189308570-8,515575445-3,378161481-6,348972603-0,70.9925,294,34.0083,5.566274,9282.286375
2012-01-10 09:46:10,2012-01-10 12:23:32,75,136384080-0,760724164-7,575120473-5,553206825-9,843098637-5,69.3748,100,79.5422,4.51993,5131.079241
2012-01-10 09:46:10,2012-01-10 12:23:32,76,119069342-9,262019767-8,715320062-2,638385392-9,653447859-5,4.6144,125,14.7746,6.618781,2790.700048
2012-01-10 09:46:10,2012-01-10 12:23:32,77,062309557-2,512187267-4,036673167-X,641496415-8,500975310-3,31.8879,83,98.0692,3.83927,9011.847806
2012-01-10 09:46:10,2012-01-10 12:23:32,78,300454323-0,114095004-5,696231212-1,268635222-1,182521839-0,1.6293,217,13.8385,6.421529,7928.780151
2012-01-10 09:46:10,2012-01-10 12:23:32,79,909648178-X,869202170-9,493788867-6,192979472-X,949657434-3,51.241,154,22.7027,1.140341,7843.724064
2012-01-10 09:46:10,2012-01-10 12:23:32,80,875203382-1,192849104-9,636480957-X,217529278-9,286570669-9,5.8492,291,32.3981,3.649147,2147.09496
2012-01-10 09:46:10,2012-01-10 12:23:32,81,366925989-9,746108029-6,309921519-8,761477750-6,206027681-0,43.4006,173,98.7401,5.266037,2285.605555
2012-01-10 09:46:10,2012-01-10 12:23:32,82,935932804-9,349766540-1,523370122-7,094363900-X,006019472-3,50.928,308,13.722,4.267775,5284.089616
2012-01-10 09:46:10,2012-01-10 12:23:32,83,263904416-8,868499363-2,746415790-7,861194238-8,275449164-3,36.9735,3,74.5143,7.098074,9767.68825
2012-01-10 09:46:10,2012-01-10 12:23:32,84,497017247-1,175976240-7,093527648-3,163776964-4,663163818-6,19.8231,8,57.8303,1.002352,2227.204799
2012-01-10 09:46:10,2012-01-10 12:23:32,85,832966623-9,180437228-5,025533086-3,394435668-3,276694546-6,28.2679,230,91.2377,6.336994,6412.510436
2012-01-10 09:46:10,2012-01-10 12:23:32,86,447040099-8,117486435-4,378404363-1,635906500-2,187011755-7,46.9526,203,60.9818,2.689484,3800.911515
2012-01-10 09:46:10,2012-01-10 12:23:32,87,528750795-X,318781786-6,623009493-2,628198907-4,940895710-5,16.3907,240,27.049,3.52745,7353.316189
2012-01-10 09:46:10,2012-01-10 12:23:32,88,332117504-5,384299861-9,411846687-2,833967035-2,866612641-8,75.038,14,11.6805,8.61746,2431.109433
2012-01-10 09:46:10,2012-01-10 12:23:32,89,009268040-2,518889183-2,794915944-8,662883018-7,898890215-7,70.4754,36,69.5712,5.256229,9859.799566
2012-01-10 09:46:10,2012-01-10 12:23:32,90,802582403-9,214261142-7,414365923-9,054413751-5,676605890-0,55.0744,387,49.0098,2.301706,5963.314845
2012-01-10 09:46:10,2012-01-10 12:23:32,91,188691673-X,189692256-2,590705209-0,043304917-0,843025506-0,71.5316,439,73.7665,9.72642,6846.199684
2012-01-10 09:46:10,2012-01-10 12:23:32,92,686695698-6,411752841-6,139537482-1,361209789-X,403117382-2,65.49,383,45.3076,2.341052,9592.313927
2012-01-10 09:46:10,2012-01-10 12:23:32,93,474681030-3,333965520-0,662997218-X,464440879-4,279285388-3,69.842,319,14.9785,3.653195,4099.773151
2012-01-10 09:46:10,2012-01-10 12:23:32,94,524882499-0,949090291-8,642482098-1,797264447-0,801937193-1,70.8565,356,43.3022,7.22558,2464.687109
2012-01-10 09:46:10,2012-01-10 12:23:32,95,490532948-5,807801286-1,219275818-9,065773879-4,642487550-6,61.8905,211,65.514,6.868115,6980.692759
2012-01-10 09:46:10,2012-01-10 12:23:32,96,835932830-7,248653630-2,921437322-1,565482243-8,083780686-0,78.4498,36,53.8402,4.501353,3320.079765
2012-01-10 09:46:10,2012-01-10 12:23:32,97,850625584-8,756186822-7,374363090-7,591540207-0,269291868-1,96.0818,498,58.8674,7.31096,8405.615915
2012-01-10 09:46:10,2012-01-10 12:23:32,98,172448548-2,915624182-8,750919712-0,072947736-3,249095022-3,69.5151,199,75.4451,6.653583,6428.155
2012-01-10 09:46:10,2012-01-10 12:23:32,99,934406456-3,555988036-1,370108413-0,027381519-9,358120099-6,23.6021,355,44.7986,5.757416,7566.756944
2012-01-10 09:46:10,2012-01-10 12:23:32,100,963180920-X,146243162-3,676332039-6,613552205-1,467252974-6,79.4815,482,23.9103,8.628321,1008.07404
