transacted,created,id,code_1,code_2,code_3,code_4,code_5,amount,qauntity,price,tax,value
2023-01-02 06:34:52,2023-01-02 08:01:34,1,215592216-7,656702317-1,375744720-4,672279678-7,427865817-6,19.0935,259,44.5321,5.267625,9461.757077
2023-01-02 06:34:52,2023-01-02 08:01:34,2,714033932-5,373347508-9,187367999-8,928938771-8,252963788-1,10.3672,276,7.951,9.346226,3965.773736
2023-01-02 06:34:52,2023-01-02 08:01:34,3,259364253-X,476722474-8,540712810-1,987164078-1,560362391-8,96.287,135,54.1086,4.471512,3198.110691
2023-01-02 06:34:52,2023-01-02 08:01:34,4,987905234-X,916791785-2,203620770-7,343004211-9,362724389-7,2.166,227,8.5715,1.609198,7471.361592
2023-01-02 06:34:52,2023-01-02 08:01:34,5,881685675-0,654205717-X,837593354-6,971444177-3,534138381-8,26.8044,280,58.5176,9.354375,8021.491186
2023-01-02 06:34:52,2023-01-02 08:01:34,6,100362615-7,350389441-1,073703903-5,473522970-1,927765433-3,49.7775,108,90.7233,3.835271,8237.273788
2023-01-02 06:34:52,2023-01-02 08:01:34,7,424267167-9,946256274-1,009411935-X,811441750-1,995944149-0,80.4766,376,99.9056,3.495846,6090.985855
2023-01-02 06:34:52,2023-01-02 08:01:34,8,256163011-0,010120178-8,664484277-1,162988174-0,560727862-X,38.1348,117,80.072,1.139412,5837.727558
2023-01-02 06:34:52,2023-01-02 08:01:34,9,759189570-2,518290008-2,731093596-9,183014824-9,970846480-5,26.8739,223,18.6996,9.775058,5551.966226
2023-01-02 06:34:52,2023-01-02 08:01:34,10,900643345-4,508786901-7,604464534-7,634172519-1,299454011-8,71.5672,310,33.8183,9.633239,6267.737998
2023-01-02 06:34:52,2023-01-02 08:01:34,11,319875666-9,118416200-X,651545208-X,551479829-1,925697839-3,93.6192,170,43.8505,8.676978,7810.643431
2023-01-02 06:34:52,2023-01-02 08:01:34,12,935375665-0,499252780-9,700936672-1,903215745-0,908951813-4,23.5976,26,55.4637,5.889109,6407.134351
2023-01-02 06:34:52,2023-01-02 08:01:34,13,396383492-7,612360534-8,610126544-7,093827896-7,219749175-X,46.377,316,28.5041,9.872548,6959.011607
2023-01-02 06:34:52,2023-01-02 08:01:34,14,043475133-2,498677226-0,045241499-7,711770744-5,471143205-1,26.4328,306,43.8461,4.10089,5896.179451
2023-01-02 06:34:52,2023-01-02 08:01:34,15,160658444-8,349049124-6,809907946-9,550940908-8,256808286-0,36.8701,384,18.6035,8.193645,3901.313065
2023-01-02 06:34:52,2023-01-02 08:01:34,16,190885637-8,622367073-7,960805273-4,993729384-7,304251804-3,55.9799,132,78.1977,7.405572,8350.714645
2023-01-02 06:34:52,2023-01-02 08:01:34,17,655731399-1,115622017-3,316896893-5,419340985-6,214398010-8,18.455,261,56.2991,2.388318,1084.307567
2023-01-02 06:34:52,2023-01-02 08:01:34,18,601898805-4,913787516-7,396726041-0,502080359-6,262471692-0,12.1118,25,94.8585,4.593061,7330.095898
2023-01-02 06:34:52,2023-01-02 08:01:34,19,971446784-5,468909658-9,793219396-6,049541055-1,933330055-4,58.304,443,76.986,3.16343,6766.719215
2023-01-02 06:34:52,2023-01-02 08:01:34,20,900972560-X,139446738-9,691024428-1,596885622-X,698950708-X,93.941,408,71.9904,6.713307,4928.59557
2023-01-02 06:34:52,2023-01-02 08:01:34,21,279573322-6,789981774-9,136173859-6,745422689-2,884638318-4,15.4896,305,55.7071,6.99747,5867.416979
2023-01-02 06:34:52,2023-01-02 08:01:34,22,449211109-3,628857960-2,235197685-1,070948575-1,858153242-X,47.5068,119,15.2057,4.112281,3428.663712
2023-01-02 06:34:52,2023-01-02 08:01:34,23,131829661-7,574073173-9,166083656-5,599655518-2,202103170-5,99.4556,68,43.0395,3.290213,9583.029039
2023-01-02 06:34:52,2023-01-02 08:01:34,24,127582750-0,142173922-4,941161468-X,412685216-6,600951692-7,20.4885,408,8.916,5.018975,8218.341773
2023-01-02 06:34:52,2023-01-02 08:01:34,25,418131940-7,850822772-8,700035923-4,587442302-8,762489425-4,83.1948,275,26.1328,6.046097,4772.159083
2023-01-02 06:34:52,2023-01-02 08:01:34,26,792666272-0,700767376-7,765974471-2,646757148-7,728153881-2,22.4429,324,12.3706,8.060701,6189.159276
2023-01-02 06:34:52,2023-01-02 08:01:34,27,669049591-4,093102964-3,627145251-5,034818053-5,395937163-2,67.92,314,81.1738,6.635694,1558.528266
2023-01-02 06:34:52,2023-01-02 08:01:34,28,092387392-9,328441509-2,244980048-4,228250354-6,081684928-5,9.0982,397,55.7848,7.048429,7273.91899
2023-01-02 06:34:52,2023-01-02 08:01:34,29,761087153-2,181785756-8,763140106-3,867387930-2,141526208-X,68.0077,254,41.9269,4.636627,2792.946254
2023-01-02 06:34:52,2023-01-02 08:01:34,30,622065070-0,576209265-8,834272677-0,636255386-1,545272941-0,70.5804,372,61.2884,2.870555,6635.754552
2023-01-02 06:34:52,2023-01-02 08:01:34,31,619091257-5,676533300-2,473536029-8,203955027-5,294033149-9,45.5697,279,55.7229,5.369151,5958.833492
2023-01-02 06:34:52,2023-01-02 08:01:34,32,267774008-7,254194007-6,126628757-4,098495424-4,545675366-9,50.1763,445,40.8015,3.121248,2766.633387
2023-01-02 06:34:52,2023-01-02 08:01:34,33,443181779-4,704072122-8,816230384-7,868546970-8,418078641-9,94.1061,408,18.0085,7.413473,6511.471294
2023-01-02 06:34:52,2023-01-02 08:01:34,34,823202521-2,743948455-X,595648614-7,487945107-X,983741253-4,76.1403,354,65.0826,8.444555,2184.694066
2023-01-02 06:34:52,2023-01-02 08:01:34,35,635285101-0,652473680-X,788587935-6,581983654-5,366399189-X,45.0893,269,72.9818,5.457066,1547.578536
2023-01-02 06:34:52,2023-01-02 08:01:34,36,007175083-5,921235482-3,380530386-6,474604287-X,565719919-7,39.5561,327,29.2634,9.706797,3994.862737
2023-01-02 06:34:52,2023-01-02 08:01:34,37,512653136-0,427952892-6,888178761-X,942198868-X,262672354-1,94.1043,387,95.217,5.858784,8922.163114
2023-01-02 06:34:52,2023-01-02 08:01:34,38,577905921-7,044822248-5,461742307-9,044709360-6,251476994-9,99.5994,183,13.3655,1.921464,2588.066877
2023-01-02 06:34:52,2023-01-02 08:01:34,39,703307482-4,770221247-0,871178461-X,320779216-2,248603753-5,48.2525,362,10.6809,3.216948,6365.606292
2023-01-02 06:34:52,2023-01-02 08:01:34,40,776213283-X,344190135-5,126153907-9,923463960-X,405870935-9,10.4204,177,89.7121,4.340481,4599.660571
2023-01-02 06:34:52,2023-01-02 08:01:34,41,808406026-0,060843457-4,017579376-X,486518877-0,344486525-2,84.8253,335,41.4936,7.473157,2156.924007
2023-01-02 06:34:52,2023-01-02 08:01:34,42,226757826-3,909399978-8,466253185-3,752097622-X,373871093-0,22.671,460,31.7457,3.251285,3895.596827
2023-01-02 06:34:52,2023-01-02 08:01:34,43,670110648-X,176700365-X,397970170-0,990769763-X,260476497-0,66.7561,476,41.8531,5.096937,6769.60278
2023-01-02 06:34:52,2023-01-02 08:01:34,44,240333519-3,626120189-7,623166763-4,954643985-1,386171266-0,65.4207,77,89.0626,1.838235,1987.32755
2023-01-02 06:34:52,2023-01-02 08:01:34,45,142431037-7,426754556-1,227153624-3,992053019-0,976063104-0,41.3702,235,27.387,3.416461,4495.8771
2023-01-02 06:34:52,2023-01-02 08:01:34,46,348387918-8,820652819-9,099643212-4,352649270-0,454431084-9,88.7351,39,58.1328,3.770281,3499.243183
2023-01-02 06:34:52,2023-01-02 08:01:34,47,426802356-9,322823971-3,364849591-7,777290256-5,642498084-9,5.4718,154,78.8593,9.736392,5529.572156
2023-01-02 06:34:52,2023-01-02 08:01:34,48,562351699-8,406551534-3,586604702-0,024126754-4,752877097-3,66.8025,391,82.9984,6.547791,8687.532879
2023-01-02 06:34:52,2023-01-02 08:01:34,49,931399422-4,206938648-1,613933671-6,547440334-8,561392166-0,26.5673,326,99.7111,6.699142,2459.114699
2023-01-02 06:34:52,2023-01-02 08:01:34,50,963562813-7,017127791-0,643705881-1,528196244-2,541659384-9,14.093,296,24.5294,1.213989,5923.371876
2023-01-02 06:34:52,2023-01-02 08:01:34,51,502891642-X,100197108-6,733876578-2,438578408-6,312716491-2,92.9285,44,19.705,9.742662,3943.115261
2023-01-02 06:34:52,2023-01-02 08:01:34,52,361671811-2,624143669-4,661150858-9,141812001-4,595571601-7,25.9022,302,49.8026,4.809271,4023.339189
2023-01-02 06:34:52,2023-01-02 08:01:34,53,222140552-8,513827220-9,998583856-4,185153320-6,613212714-3,24.4377,43,15.9511,2.575357,1221.408561
2023-01-02 06:34:52,2023-01-02 08:01:34,54,713605992-5,850609939-0,409316574-2,020519122-3,524776597-4,97.1856,156,87.5645,8.730283,8039.014521
2023-01-02 06:34:52,2023-01-02 08:01:34,55,480774765-7,173777051-2,643170916-0,004466567-9,902100732-0,93.6984,301,14.6014,9.28046,6181.42034
2023-01-02 06:34:52,2023-01-02 08:01:34,56,187395007-1,697139180-2,985116594-8,407720918-8,536487549-0,15.1238,295,36.5811,9.870232,3898.375506
2023-01-02 06:34:52,2023-01-02 08:01:34,57,210995762-X,554643363-9,198447092-2,424970150-6,667330998-9,48.4922,202,50.9981,1.598621,5486.387267
2023-01-02 06:34:52,2023-01-02 08:01:34,58,336933216-7,322092341-0,943367940-7,181127191-X,462620076-1,83.2105,293,32.8959,9.065922,9393.890873
2023-01-02 06:34:52,2023-01-02 08:01:34,59,803544917-6,466642820-8,463621994-5,489491616-9,184713128-X,34.672,34,88.8594,6.211552,9599.576577
2023-01-02 06:34:52,2023-01-02 08:01:34,60,151344238-4,896619400-1,911302399-3,751725427-8,377007325-8,24.2591,320,42.3076,5.25262,2723.493448
2023-01-02 06:34:52,2023-01-02 08:01:34,61,889852116-2,953963432-6,576237589-7,196637165-9,068420165-8,56.5473,165,35.5099,2.122605,3397.335576
2023-01-02 06:34:52,2023-01-02 08:01:34,62,971278283-2,888188429-1,338023284-X,552865346-0,020355609-7,35.8215,386,76.2808,5.385823,1631.574484
2023-01-02 06:34:52,2023-01-02 08:01:34,63,480024636-9,221281596-4,890970502-7,629429550-5,289986656-7,76.4072,344,1.7335,7.03096,5064.836331
2023-01-02 06:34:52,2023-01-02 08:01:34,64,542611189-8,713980291-2,895666422-6,224846681-1,550479354-8,39.6793,23,55.0861,6.041455,4460.126865
2023-01-02 06:34:52,2023-01-02 08:01:34,65,363031308-6,886058511-2,449100103-0,832114656-2,303323094-6,79.1691,435,67.5351,1.711174,2353.278768
